"area","Rt"
"Barking and Dagenham",1.38535766579955
"Barnet",0.781012319273979
"Barnsley",1.41300725056003
"Bath and North East Somerset",0.974837289644165
"Bedford",1.01735444732739
"Bexley",1.43068197666191
"Birmingham",0.699817501416711
"Blackburn with Darwen",0.560034769173719
"Blackpool",0.48758531289823
"Bolton",1.23532254441966
"Bournemouth, Christchurch and Poole",0.42944093618149
"Bracknell Forest",0.681608258779143
"Bradford",0.975031321726962
"Brent",0.862918922489776
"Brighton and Hove",0.713424109322897
"Bristol, City of",0.585599249887055
"Bromley",1.26743619068798
"Buckinghamshire",1.17995262887589
"Bury",0.707837085516787
"Calderdale",1.89988769274512
"Cambridgeshire",0.456355434551108
"Camden",1.68170806422007
"Central Bedfordshire",1.11663456625694
"Cheshire East",1.10362798819091
"Cheshire West and Chester",1.07589732525186
"City of London",19.5531490984038
"Cornwall and Isles of Scilly",0.444908486185614
"County Durham",1.35031886254091
"Coventry",1.03436430989919
"Croydon",0.167502511312375
"Cumbria",1.27186299031561
"Darlington",0.408410802229251
"Derby",1.33760822546622
"Derbyshire",0.712591317294627
"Devon",1.17587855046659
"Doncaster",0.411793852139091
"Dorset",0.846845225482908
"Dudley",1.8741825860146
"Ealing",1.16018805620006
"East Riding of Yorkshire",0.712597602778252
"East Sussex",1.54047587938241
"Enfield",1.44834003303364
"Essex",0.893236963806852
"Gateshead",0.589865247486782
"Gloucestershire",0.538156994655894
"Greenwich",1.31249939392309
"Hackney",0.680723444001928
"Halton",1.22164686858974
"Hammersmith and Fulham",2.54131379330193
"Hampshire",0.380731053092436
"Haringey",3.79943027240244
"Harrow",0.486119350871058
"Hartlepool",0.231913421775834
"Havering",0.367788791071429
"Herefordshire, County of",0.458736058801722
"Hertfordshire",1.03175976462432
"Hillingdon",0.594761088480807
"Hounslow",0.713316557782649
"Isle of Wight",0.560764039160125
"Islington",1.26924170495659
"Kensington and Chelsea",2.29322870370494
"Kent",0.989870365055322
"Kingston upon Hull, City of",0.652370165186832
"Kingston upon Thames",0.461029970470581
"Kirklees",0.715648777331949
"Knowsley",0.692970775600762
"Lambeth",1.28051619007909
"Lancashire",0.612020806397283
"Leeds",0.733332570220818
"Leicester",0.979917548476167
"Leicestershire",0.82989902092653
"Lewisham",1.03530576907141
"Lincolnshire",1.12937113622558
"Liverpool",0.838975949654851
"Luton",1.2170538599001
"Manchester",0.861814513813625
"Medway",2.89500297255181
"Merton",1.48868109087749
"Middlesbrough",0.595648837577264
"Milton Keynes",0.940384321272477
"Newcastle upon Tyne",1.02743739102092
"Newham",1.19812157327159
"Norfolk",0.864637893023057
"North East Lincolnshire",0.530054738481812
"North Lincolnshire",2.86212203079874
"North Somerset",0.619605908600413
"North Tyneside",0.662348770754845
"North Yorkshire",0.689063151367131
"Northamptonshire",0.859498024491167
"Northumberland",1.07891467436128
"Nottingham",0.778313162291526
"Nottinghamshire",1.29113166007875
"Oldham",0.558869899456679
"Oxfordshire",0.746060423633532
"Peterborough",0.846175494002688
"Plymouth",1.25386916457418
"Portsmouth",0.906061222773333
"Reading",0.537046784470184
"Redbridge",0.562005770838312
"Redcar and Cleveland",0.465157777492155
"Richmond upon Thames",0.315217039689208
"Rochdale",0.689902618451763
"Rotherham",1.5073027593364
"Rutland",23.4307777024083
"Salford",0.799731516621353
"Sandwell",0.5735990414628
"Sefton",0.980201775176707
"Sheffield",0.707202275243903
"Shropshire",0.604464591781827
"Slough",0.571292273289296
"Solihull",1.05624255215078
"Somerset",0.400779629456139
"South Gloucestershire",0.782682972967763
"South Tyneside",0.272738389279856
"Southampton",0.491756255095476
"Southend-on-Sea",0.825595371492728
"Southwark",2.26649907533903
"St. Helens",1.48794592441019
"Staffordshire",1.01569800864885
"Stockport",1.29734144066704
"Stockton-on-Tees",1.32536967475578
"Stoke-on-Trent",0.93407963777945
"Suffolk",0.541628174143596
"Sunderland",0.413926079251146
"Surrey",0.98240591337892
"Sutton",0.70248664071973
"Swindon",1.39429483827365
"Tameside",0.686490649584356
"Telford and Wrekin",2.16122300550391
"Thurrock",0.915192835510478
"Torbay",1.29520619901713
"Tower Hamlets",0.689710114664661
"Trafford",0.632956940244953
"Wakefield",0.255260163610202
"Walsall",0.261746237604828
"Waltham Forest",1.79679340458057
"Wandsworth",2.04995868290973
"Warrington",0.576580123011163
"Warwickshire",0.773512869540786
"West Berkshire",0.421198433664076
"West Sussex",0.660748372713475
"Westminster",0.868428470570432
"Wigan",0.08199255162102
"Wiltshire",0.528137579080475
"Windsor and Maidenhead",0.287684001095458
"Wirral",0.883518010006991
"Wokingham",0.203167819978802
"Wolverhampton",0.674544303140322
"Worcestershire",0.666348444894407
"York",2.63535632360056
